Question,Category
"ammaː kokis 4k saːdana viʈa akkaː kokis 3k saːdaji. melesa dedenaːma ekatu viː kokis 35k sæːduveː nam akkaː sæːdu kokis kiːjada?",﻿0
"veralu ɡeɖi 3ka haː amba ɡeɖi 2 ka mila ræ.46.00 nam veralu ɡeɖi 5k haː amba ɡeɖi 3ka mila ræ.70.00 nam veralu ɡeɖi 4k haː amba ɡeɖi 2ka mila kiːjada",0
"dina 31n avasan vana maːsajaka palavenidaː iridaː davasaki. ema maːsajeː avasan davasa kavadaːda ",0
"doɖam jusa 800ml ʈa d͡ʒalaja 400ml k‍ jodaː biːma mis‍raɳak saːdana ladiː. ema mis‍raɳaja 50ml bæɡin vuː vduruvalaʈa damana ladiː. biːma mis‍raɳaja dæmja hæki viːduru ɡanana kiːjadV?",0
"vaʈʈakkaː ɡeɖijaʈa 4kg 50g komaɖu ɡeɖija 1kg 275g nam vaʈʈakkaː ɡeɖijaʈa vaɖaː komaɖu ɡeɖija kopamaɳa barada?",0
"ɡaːmiɳiː viduhaleː 4056k iɡenuma labaji. iːʈa vaɖaː 396k væɖijen piːtara viduhaleː sisun siʈiː nam paːsal dekeːma siʈina mulu sisun saŋk‍jaːva kiːjada?",0
"maː laɡa rupijal 150.00 k æta in rupijal 40k malliʈa dun pasuva apa dedenaː laɡa æti mudal samaːna veː. malli laɡa mulin tibuna mudala kiːjada? ",0
"paːsalaka 1 siʈa 5 tek panti 5k æta ehi sæːma paŋtijakama lamaji samaːnava siʈiː. mulu lamaji ɡanana 215k nam ek paŋtijaka lamaji kiːjak siʈiːda",0
"ek kaɖajaka ala 1kg k saha parippu 500g mila rupijal 400k veː.  parippu 1kg k saha koːpi 250g vala mila rupijal 250k veː. ala 500g k saha parippu 250g ka mila kiːjada? ",0
"ek boːtalajak 1.5l saha anit boːtalaja 300ml p‍ramaːna sadahan kara æta. loku boːtalaja piriː itiːri jaːmaʈa kuɖaː boːtalajen kiː vaːrajak d͡ʒalaja vat kala jutuda",0
"saman kamalʈa vaɖaː usa namut vimal taram usa næta. amal kamal taram usa næta. meː atarin usama kavda ",0
"samat͡ʃaturas‍raːkara iɖamak vaʈaː 2mn 2mʈa kanu siʈuvaː æta. ehi ek pættakin bæluː viʈa penena kanu ɡanana 12k veː nam iɖama vaʈaː æti dura parimitija kiːjada? ",0
"dehi ɡeɖi 84k samaːna ɡoɖaval 7kaʈa ven kara æta. in ek ɡoɖak rupijal 36k veji. eviʈa dehi ɡeɖijaka mila kiːjada? ",0
"p‍radarsanaja bæliːmaʈa pæmiɳi lamun ɡanana 318k veː. in 1/3 k pirimi lamaji vana atara itirija ɡæhæɳu lamun veː. ɡæhæɳu lamun ɡanana kiːjada? ",0
"pæːn saŋk‍jaːvak lamun atara samaːnava bedaː dena ladiː. tundenekuʈa læbuna pæːn ɡanana 21ki. bedaː dena lada mulu pæːn kiːjada? ",0
"ɡaslabu 1kg ka mila rupijal 80k nam ɡaslabu ɡeɖijeː bara 2kg 250g nam ema ɡeɖijeː mila kiːjada",0
"ibbek pæja 2kaʈa 60cm dura ɡaman karaji.  minittu 30 kadiː ɡaman karana dura kopamaɳada",0
"kambi kuːrak samaːna diɡin jutu tæn 5kin kapana ladiː. eviʈa læbuɳu ek kambi koʈasaka diɡa 75cm ki. kamb kuːreː diɡa kopamaɳada ",0
"paŋtijaka lamajiʈa dinapataː udeː haː havasaʈa biskaʈ 4 bæɡin denu læbeː. ema paŋtijeː lamaji 38 denaku siʈiː nam dina 3k diːmaʈa avas‍ja vana biskaʈ p‍ramaːnaja kopamaɳVdV ",0
"siːni ɡoːnijeː bara 24kg 240g ki. his ɡoːnijeː bara 2kg 800g nam ehi tibuː siːni vala bara kiːjada? ",0
"malaka peti 8k æta. evæni mal 8k senuri laɡa æta. nisal laɡa evæni mal 12k æta . dedenaː laɡama æti malvala peti saŋk‍jaːva atara venasa kiːjada? ",0
"rata ɡaːlaka navataː tibuː t‍riroːda rata haː jaturu pædi vala ekatuva 10k veː. devarɡajeːma roːda ɡananeː ekatuva 24k veː. navataː tibuː t‍riroːda rata ɡanana saha jVturu pædi ɡVnVnV kiːjVdV?",0
"elum vilaka æti mal p‍ramaːnaja dinapataː 2ɡunajak veː. mulu vilen baːɡajak nelum mal valin piriːmaʈa dina 4k ɡata veː. mulu vilama sampuːrnajenma piriːmaʈa ɡata vana dina ɡanVnV kiːjVdV?",0
"ammaː keːk 1kg k saːdaː ɡæniːmaʈa siːni 500g haː bittara 8k ekatu karaji. siːni 2kg mis‍ra kiriːmaʈa ekatu kala jutu bittara ɡanana kiːjada?",0
"potak haː pæːnak rupijal 120k veː. pot 3k haː pæːn 2k rupijal 310k veː.  potaka mila haː pæːnaka mila vena venama kiːjada?",0
"lamajek laɡa rupijal 5 kaːsi 12k da rupijal 10 kaːsi valin baːɡajaka p‍ramaːnakda rupijal 20 noːʈʈuda æta. ohu laɡa æti mulu mudala kiːjada?",0
"ektaraː vasaraka d͡ʒuːli 23 aɡaharuvaːdaːja. ema vasareː aɡoːstu 03 davasa kavadaːda",0
"at͡ʃini laɡa peːra ɡeɖi 60k æta. æja in 18k amaːjaːʈa dun viʈa dedenaː laɡa æti peːra ɡeɖi ɡanana samaːna veː. at͡ʃini laɡa mulin tibuː peːra ɡeɖi ɡanana kiːjada?",0
"amal ɡeː duva nimalaː ja. malitiɡeː baːla næɡanija vanneːda nimalaːja.  tarusiɡeː mava maliti veː. nimalaː tarusiɡeː kavda ",0
"miːʈar 10n 10 ʈa parataraja ætuva væʈaka kanu 10k siʈuvaː æti nam mema væʈeː diɡa kiːjada? ",0
"boːlajaka mila rupijal  450ki  kæːma peʈʈijaka mila emen 2/5ki. boːlajak haː kæːma peʈʈijak ɡena rupijal 1000k dun viʈa læbena itirija kiːjada? ",0
"kæʈajaka rupijal 2kaːsi haː rupijal 5 kaːsi pamaɳak æta. ehi æti mulu kaːsi ɡanana 50ki. kaːsivala mulu vaʈinaːkama rupijal 166ki.  kæʈajeː æti rupijal 2kaːsai ɡanana saha 5 kaaːsai ɡanana kaiːjVdV? ",0
"2021 sija 45 vena upandinaja sæmaruː siriseːna mahataː sija 37 vana upandinaja sæmaruː vasara kumakda ",0
"udeː 8.30ʈa paːsal pæmini netmi dahaval 2.45 tek paːsaleː rædiː nivasaʈa jaːmaʈa piʈat vuni. æja paːsaleː siʈi kaːlaja kopamaɳada ",0
"putaːɡeː bara kiloːɡ‍ræːm 19 ki. taːttaːɡeː bara kiloːɡ‍ræːm 58ki. putaːʈa vaɖaː taːttaː kopamaɳada barada",0
"rupijal 2150k lesa mila saʈahan kara æti kamisajak vikiɳiːmeːdiː rupijal 250kin mila aɖu karaji. evani kamisajak miladiː ɡæniːmaʈa ɡevija jutu mudala kiːjada",0
"a paːsaleː sisun ɡananaʈa vaɖaː b paːsaleː sisun ɡaɳana 15kin væɖija. b paːsaleː siʈina sisun ɡanana 810k nam paːsal dekama siʈina sisun ɡaɳana kiːjada",0
"bæralajaka tibuː poltel p‍ramaːnajen liːʈara 225k bedaː dun pasu ehi poltel liːʈara 95k ituru viː tibuniː. bæralajeː mulin tibuː poltel p‍ramaːnaja kopamaɳada ",0
"potaka piʈu 960k æta. supun iridaː dina ehi piʈu aŋka 35 siʈa 110 dakvaːda, sadudaː dina pera daː natara kaɭa tæna siʈa piʈu aŋka 215 tekda kijavuːjeːja. ohu dina dekeːma kijavuː paiʈau ɡanana kaiːjadV? ",0
